id,name,description,rarity,class,level
201044,Critical Cycles,"Druid Critical Cycles
Requires  Eclipse (Rank 1)
Solar and Lunar Eclipse increases the periodic damage of your Insect Swarm, Moonfire and Sunfire by 30%. ID 201044",Epic,Druid,50
200174,Lava Sweep,"Shaman Lava Sweep
Requires  Lava Lash (Rank 1)
Transforms Lava Lash into Lava Sweep.

This ability scales from your Lava Lash modifiers.

 Lava Sweep
Unleash a fiery sweep of lava in front of you, dealing 100% main-hand weapon damage as Fire damage to your main target and half to other targets. 

If your weapon is enchanted with Flametongue the damage is increased by 50%.

If you're using a one-handed weapon the damage is increased by 25%. ID 200174",Legendary,Shaman,30
1013656,Enrage,"Warrior Enrage
Crossover Talent
Gives you a 30% chance to receive a 10% damage bonus for 12 sec after being the victim of a damaging attack.  This effect does not stack with Wrecking Crew.

This Mystic Enchant does not stack with the Enrage Talent. Requires 30 Arms or 30 Protection Warrior Talents ID 1013656",Rare,Warrior,45
1013759,Nature's Focus,"Druid Nature's Focus
Crossover Talent
Reduces the pushback suffered from damaging attacks  while casting Healing Touch, Wrath, Entangling Roots, Cyclone, Nourish, Regrowth and Tranquility by 70%.

This Mystic Enchant does not stack with the Nature's Focus Talent. Requires 30 Balance or 30 Feral Druid Talents ID 1013759",Rare,Druid,45
1013673,Opportunity,"Rogue Opportunity
Crossover Talent
Increases the damage dealt with your Backstab, Mutilate, Garrote and Ambush abilities by 20%.

This Mystic Enchant does not stack with the Opportunity Talent. Requires 30 Assassination or 30 Combat Rogue Talents ID 1013673",Rare,Rogue,45
200352,Spirit of the Forest,Druid ID 200352,Legendary,Druid,55
554005,Glyph of Entangling Roots,"Druid Glyph of Entangling Roots
Increases the damage your Entangling Roots victims can take before the Entangling Roots automatically breaks by 20%. ID 554005",Rare,Druid,8
1013624,Arcane Concentration,"Mage Arcane Concentration
Crossover Talent
Gives you a 10% chance of entering a Clearcasting state after any damage spell hits a target.  The Clearcasting state reduces the mana cost of your next damage spell by 100%.

This Mystic Enchant does not stack with the Arcane Concentration Talent. Requires 30 Fire or 30 Frost Mage Talents ID 1013624",Rare,Mage,45
554108,Glyph of Frostbolt,"Mage Glyph of Frostbolt
Increases the damage dealt by Frostbolt by 10%, but removes the slowing effect. ID 554108",Rare,Mage,4
1013775,Nightfall,"Warlock Nightfall
Crossover Talent
Gives your Corruption and Drain Life spells a 2% chance to cause you to enter a Shadow Trance state after damaging the opponent.  The Shadow Trance state reduces the casting time of your next Shadow Bolt spell by 100%.

This chance increases by an additional 2% every time Shadow Trance does not trigger.

This Mystic Enchant does not stack with the Nightfall Talent. Requires 30 Demonology or 30 Destruction Warlock Talents ID 1013775",Rare,Warlock,45
1013877,Affliction Mastery,"Warlock Affliction Mastery
Increases your spell haste by 4% and the damage of your Corruption by 6%. ID 1013877",Legendary,Warlock,30
201565,Light and Shadow,"Priest Light and Shadow
The critical strike chance of your Smite is increased by 8% on targets affected by your Shadow Word: Pain. In addition, the duration of Shadow Word: Pain is increased by 3 sec. ID 201565",Epic,Priest,15
201578,Long Arm of the Law,"Paladin Long Arm of the Law
Dealing damage with Hand of Reckoning increases your movement speed by 50% for 3 sec.

While active, dealing damage with a Judgement effect extends the duration by 2 sec. ID 201578",Epic,Paladin,15
554091,Glyph of Shadow Bolt,"Warlock Glyph of Shadow Bolt
Reduces the cast time of your Shadow Bolt by 3%. ID 554091",Rare,Warlock,1
200784,Holy Word: Chastise,Priest ID 200784,Artifact,Priest,35
1013824,Improved Devotion Aura,"Paladin Improved Devotion Aura
Crossover Talent
Increases the armor bonus of your Devotion Aura by 50% and increases the amount healed on any target affected by any of your Auras by 6%.

This Mystic Enchant does not stack with the Improved Devotion Aura Talent. Requires 30 Holy or 30 Retribution Paladin Talents ID 1013824",Rare,Paladin,45
200735,Glacial Cascade,"Mage Glacial Cascade
Every fourth Frostbolt triggers a cascade of Frostbolts, hitting 3 additional nearby enemies. ID 200735",Epic,Mage,15
201187,Scorched Ground,"Mage Scorched Ground
Requires  Living Bomb (Rank 1)
When your Living Bomb explodes it scorches the ground, burning enemies within the area for 93 Fire damage every second for 8 sec. Also, targets affected by your Living Bomb takes 10% more damage from your Living Bomb explosions.

This effect can only occur once every 8 seconds. ID 201187",Epic,Mage,60
200699,Demonic Whirl,"Warlock Demonic Whirl
Requires  Summon Felguard (Summon)
Dealing damage with Shadow Bolt or Incinerate causes your Felguard to cast a Whirlwind, dealing damage to enemies within 8 yards.

This can only occur once every 3 sec. ID 200699",Epic,Warlock,50
554067,Glyph of Shadow Word: Pain,"Priest Glyph of Shadow Word: Pain
The periodic damage ticks of your Shadow Word: Pain spell restore 1% of your base mana. ID 554067",Rare,Priest,4
1013687,Improved Inner Fire,"Priest Improved Inner Fire
Crossover Talent
Increases the effect of your Inner Fire spell by 45%, and increases the total number of charges by 12.

This Mystic Enchant does not stack with the Improved Inner Fire Talent. Requires 30 Holy or 30 Shadow Priest Talents ID 1013687",Rare,Priest,45
1013642,Booming Voice,"Warrior Booming Voice
Crossover Talent
Increases the area of effect and duration of your Battle Shout, Demoralizing Shout and Commanding Shout by 50%.

This Mystic Enchant does not stack with the Booming Voice Talent. Requires 30 Arms or 30 Protection Warrior Talents ID 1013642",Rare,Warrior,45
201586,Marked Detonation,"Hunter Marked Detonation
The first time you apply Hunter's Mark to a target above 75% health, your next ranged ability on the target will critically hit and restore 15% base mana. ID 201586",Epic,Hunter,15
200800,Demonic Persistence,"Warlock Demonic Persistence
Dealing damage with Incinerate causes your lowest health Wild Imp to be sacrificed and explode, dealing 225 Fire damage to all enemies within 8 yards. 

In addition, the damage of your summoned demon and Wild Imps are increased by 5%, stacking up to 4 times.

The duration of your Wild Imps is increased by 1 sec per active stack. ID 200800",Epic,Warlock,30
201577,Righteous Light,"Paladin Righteous Light
Increases the damage of Shield of Righteousness by 10%.
 
Using Shield of Righteousness causes your next Hand of Reckoning to heal you for 5% of your missing health, stacking up to 5 times. ID 201577",Epic,Paladin,40
554106,Glyph of Fireball,"Mage Glyph of Fireball
Reduces the casting time of your Fireball spell by 5%. ID 554106",Rare,Mage,1
1013664,Puncturing Wounds,"Rogue Puncturing Wounds
Crossover Talent
Increases the critical strike chance of your Backstab ability by 30%, and the critical strike chance of your Mutilate ability by 15%.

This Mystic Enchant does not stack with the Puncturing Wounds Talent. Requires 30 Combat or 30 Subtlety Rogue Talents ID 1013664",Rare,Rogue,45
1013693,Unbreakable Will,"Priest Unbreakable Will
Crossover Talent
Reduces the duration of Stun, Fear, and Silence effects done to you by an additional 30%.

This Mystic Enchant does not stack with the Unbreakable Will Talent. Requires 30 Holy or 30 Shadow Priest Talents ID 1013693",Rare,Priest,45
1300145,Colossus Smash,Warrior ID 1300145,Legendary,Warrior,30
554252,Glyph of Stoneclaw Totem,"Shaman Glyph of Stoneclaw Totem
Your Stoneclaw Totem also places a damage absorb shield on you, equal to 4 times the strength of the shield it places on your totems. ID 554252",Rare,Shaman,8
554058,Glyph of Power Word: Shield,"Priest Glyph of Power Word: Shield
Your Power Word: Shield also heals the target for 20% of the absorption amount. ID 554058",Rare,Priest,10
1013761,Intensity,"Druid Intensity
Crossover Talent
Allows 50% of your Mana regeneration to continue while casting and causes your Enrage ability to instantly generate 15 rage.

This Mystic Enchant does not stack with the Intensity Talent. Requires 30 Balance or 30 Feral Druid Talents ID 1013761",Rare,Druid,45
201541,Crackling Flames,Shaman ID 201541,Epic,Shaman,15
200714,Victorious Stand,Warrior ID 200714,Epic,Warrior,20
1013872,Fire Mastery,"Mage Fire Mastery
Increases your Fire critical strike damage and critical strike chance by 4%. ID 1013872",Legendary,Mage,30
1013822,Benediction,"Paladin Benediction
Crossover Talent
Reduces the mana cost of all instant cast spells by 10%.

This Mystic Enchant does not stack with the Benediction Talent. Requires 30 Holy or 30 Protection Paladin Talents ID 1013822",Rare,Paladin,45
200551,Wrathful Exorcism,"Paladin Wrathful Exorcism
Using Exorcism allows your next Hammer of Wrath to be used regardless of the targets health. ID 200551",Epic,Paladin,44
554060,Glyph of Renew,"Priest Glyph of Renew
Reduces the duration of your Renew by 3 sec. but increases the amount healed each tick by 35%. ID 554060",Rare,Priest,8
1013782,Grim Reach,"Warlock Grim Reach
Crossover Talent
Increases the range of your Affliction spells by 20%.

This Mystic Enchant does not stack with the Grim Reach Talent. Requires 30 Demonology or 30 Destruction Warlock Talents ID 1013782",Rare,Warlock,45
200907,Raging Onslaught,Warrior ID 200907,Epic,Warrior,30
1013708,Improved Spirit Tap,"Priest Improved Spirit Tap
Crossover Talent
Your Mind Blast and Shadow Word: Death critical strikes have a 100% chance and your Mind Flay critical strikes have a 50% chance to increase your total Spirit by 10%. For the duration, your mana will regenerate at a 33% rate while casting. Lasts 8 sec.

This Mystic Enchant does not stack with the Improved Spirit Tap Talent. Requires 30 Discipline or 30 Holy Priest Talents ID 1013708",Rare,Priest,45
201291,Here Comes The Big One,"Warrior Here Comes The Big One
Requires  Bloodthirst
Every fourth use of Bloodthirst now deals 75% increased damage. ID 201291",Epic,Warrior,40
200696,Quickfire Tactics,Hunter ID 200696,Epic,Hunter,25
201438,Synergistic Light,Paladin ID 201438,Epic,Paladin,20
1013689,Martyrdom,"Priest Martyrdom
Crossover Talent
Gives you a 100% chance to gain the Focused Casting effect that lasts for 6 sec after being the victim of a melee or ranged critical strike.  The Focused Casting effect reduces the pushback suffered from damaging attacks while casting Priest spells and decreases the duration of Interrupt effects by 20%.

This Mystic Enchant does not stack with the Martyrdom Talent. Requires 30 Holy or 30 Shadow Priest Talents ID 1013689",Rare,Priest,45
1013778,Intensity,"Warlock Intensity
Crossover Talent
Reduces the pushback suffered from damaging attacks  while casting or channeling any Destruction spell by 70%.

This Mystic Enchant does not stack with the Intensity Talent. Requires 30 Affliction or 30 Demonology Warlock Talents ID 1013778",Rare,Warlock,45
554084,Glyph of Immolate,"Warlock Glyph of Immolate
Increases the periodic damage of your Immolate by 10%. ID 554084",Rare,Warlock,3
201314,Primal Tide,"Shaman Primal Tide
Requires  Riptide (Rank 1)
Every third cast of Riptide grants you Primal Tide.

 Primal Tide
Your next Riptide will apply to 2 additional nearby allies and last for an extra 6 seconds. ID 201314",Epic,Shaman,60
1013975,Elemental Fury,"Shaman Elemental Fury
Crossover Talent
Increases the critical strike damage bonus of your Searing and Magma Totems and your Fire, Frost, and Nature spells by 100%.

This Mystic Enchant does not stack with the Elemental Fury Talent. Requires 30 Enhancement or 30 Restoration Shaman Talents ID 1013975",Rare,Shaman,45
554055,Glyph of Lightning Bolt,"Shaman Glyph of Lightning Bolt
Increases the damage dealt by Lightning Bolt and Chain Lightning by 7%. ID 554055",Rare,Shaman,1
200652,Stormborn,Shaman ID 200652,Epic,Shaman,30
1013711,Concussion,"Shaman Concussion
Crossover Talent
Increases the damage done by your Lightning Bolt, Chain Lightning, Thunderstorm, Lava Burst and Shock spells by 10%.

This Mystic Enchant does not stack with the Concussion Talent. Requires 30 Enhancement or 30 Restoration Shaman Talents ID 1013711",Rare,Shaman,45
1013820,Deflection,"Paladin Deflection
Crossover Talent
Increases your Parry chance by 5%.

This Mystic Enchant does not stack with the Deflection Talent. Requires 30 Holy or 30 Protection Paladin Talents ID 1013820",Rare,Paladin,45
203025,Winter's Blaze,"Mage Winter's Blaze
Consuming Brain Freeze with Frostfire Bolt increases its damage by 25%.

Frostbolt and Ice Lance deal 8% increased damage to targets affected by Frostfire Bolt. ID 203025",Epic,Mage,60
200099,Void Shift,Priest ID 200099,Artifact,Priest,35
200410,Hammerstorm,Paladin ID 200410,Legendary,Paladin,30
554126,Glyph of Backstab,"Rogue Glyph of Backstab
Your Backstab increases the duration of your Rupture effect on the target by 2 seconds, up to a maximum of 6 additional seconds. ID 554126",Rare,Rogue,4
1013911,Shamanistic Focus,"Shaman Shamanistic Focus
Crossover Talent
Reduces the mana cost of your Shock spells by 45%.

This Mystic Enchant does not stack with the Shamanistic Focus Talent. Requires 30 Elemental or 30 Restoration Shaman Talents ID 1013911",Rare,Shaman,45
1013632,Tactical Mastery,"Warrior Tactical Mastery
Crossover Talent
You retain up to an additional 15 of your rage points when you change stances.  Also greatly increases the threat generated by your Bloodthirst and Mortal Strike abilities when you are in Defensive Stance (More effective than Rank 2).

This Mystic Enchant does not stack with the Tactical Mastery Talent. Requires 30 Fury or 30 Protection Warrior Talents ID 1013632",Rare,Warrior,45
201567,Murder Rush,"Rogue Murder Rush
Requires  Sprint (Rank 1)
Killing an enemy that yields experience or honor gives you Sprint for 5 seconds. If Sprint is already active, its duration is fully refreshed. In addition, while Sprint is active you deal 10% more damage. ID 201567",Epic,Rogue,15
201118,Shadow Blades,Rogue ID 201118,Legendary,Rogue,30
554122,Glyph of Vengeance,"Paladin Glyph of Vengeance
Seal of Vengeance and Seal of Corruption increases your expertise by 10. ID 554122",Rare,Paladin,25
1013715,Call of Flame,"Shaman Call of Flame
Crossover Talent
Increases the damage done by your Fire Totems and Fire Nova by 15%, and damage done by your Lava Burst spell by 6%.

This Mystic Enchant does not stack with the Call of Flame Talent. Requires 30 Enhancement or 30 Restoration Shaman Talents ID 1013715",Rare,Shaman,45
201530,Victorious,"Warrior Victorious
Your Victory Rush deals 10% more damage and heals you for 10% health. ID 201530",Epic,Warrior,15
201275,Trick Shots,"Hunter Trick Shots
Multi-Shot grants you Trick Shot, which causes your next Arcane Shot to ricochet to 4 additional targets and deal 20% increased damage. Lasts 8 seconds. ID 201275",Epic,Hunter,18
201031,Shattering Execution,"Rogue Shattering Execution
Your Eviscerate and Dispatch have a 20% chance per combo point to shatter your target's armor, allowing your attacks to ignore 10% its armor for 30 sec, stacking up to 3 times. ID 201031",Epic,Rogue,15
554114,Glyph of Frost Nova,"Mage Glyph of Frost Nova
Your Frost Nova targets can take an additional 20% damage before the Frost Nova effect automatically breaks. ID 554114",Rare,Mage,10
1013602,Crusader of the Light,Paladin ID 1013602,Epic,Paladin,15
201540,Righteous Verdict,"Paladin Righteous Verdict
Using a Judgement increases the critical strike chance and reduces the mana cost of your next Holy Light by 20%. ID 201540",Epic,Paladin,15
1013679,Remorseless Attacks,"Rogue Remorseless Attacks
Crossover Talent
After killing an opponent that yields experience or honor, gives you a 40% increased critical strike chance on your next Sinister Strike, Hemorrhage, Backstab, Mutilate, Ambush, or Ghostly Strike.  Lasts 20 sec.

This Mystic Enchant does not stack with the Remorseless Attacks Talent. Requires 30 Combat or 30 Subtlety Rogue Talents ID 1013679",Rare,Rogue,45
201375,Ursoc's Rage,Druid ID 201375,Epic,Druid,15
200816,Omen of Doom,"Druid Omen of Doom
Gaining Omen of Clarity increases your Arcane and Nature damage done by 10% for 6 seconds. ID 200816",Epic,Druid,20
554026,Glyph of Crusader Strike,"Paladin Glyph of Crusader Strike
Increases your critical strike chance of Crusader Strike by 3%. ID 554026",Rare,Paladin,10
1013697,Improved Healing,"Priest Improved Healing
Crossover Talent
Reduces the mana cost of your Lesser Heal, Heal, Greater Heal, Divine Hymn and Penance spells by 15%.

This Mystic Enchant does not stack with the Improved Healing Talent. Requires 30 Discipline or 30 Shadow Priest Talents ID 1013697",Rare,Priest,45
1013884,Feral Mastery,"Druid Feral Mastery
Increases the damage of your Rake, Rip and Ferocious Bite by 6% and their critical strike damage by an additional 6%. ID 1013884",Legendary,Druid,30
1013636,Anticipation,"Warrior Anticipation
Crossover Talent
Increases your Dodge chance by 5%.

This Mystic Enchant does not stack with the Anticipation Talent. Requires 30 Arms or 30 Fury Warrior Talents ID 1013636",Rare,Warrior,45
1013892,Survival Mastery,"Hunter Survival Mastery
The critical strike damage and critical strike chance of your Explosive Shot and Explosive Trap is increased by 6%. ID 1013892",Legendary,Hunter,34
1013619,Spell Impact,"Mage Spell Impact
Crossover Talent
Increases the damage of your Arcane Explosion, Arcane Blast, Blast Wave, Fire Blast, Scorch, Fireball, Ice Lance and Cone of Cold spells by an additional 6%.

This Mystic Enchant does not stack with the Spell Impact Talent. Requires 30 Fire or 30 Frost Mage Talents ID 1013619",Rare,Mage,45
1013853,Frost Warding,"Mage Frost Warding
Crossover Talent
Increases the armor and resistances given by your Frost Armor and Ice Armor spells by 50%.  In addition, gives your Frost Ward and Fire Ward a 30% chance to negate the warded damage spell and restore mana equal to the damage caused.

This Mystic Enchant does not stack with the Frost Warding Talent. Requires 30 Arcane or 30 Fire Mage Talents ID 1013853",Rare,Mage,45
554072,Glyph of Inner Fire,"Priest Glyph of Inner Fire
Increases the armor from your Inner Fire spell by 50%. ID 554072",Rare,Priest,12
200817,Savage Barricade,"Druid Savage Barricade
Your Savage Defense can now store up to 2 charges. ID 200817",Epic,Druid,40
200062,Cloudburst Totem,Shaman ID 200062,Legendary,Shaman,30
1013696,Healing Focus,"Priest Healing Focus
Crossover Talent
Reduces the pushback suffered from damaging attacks  while casting any holy healing and damaging spell by 70%.

This Mystic Enchant does not stack with the Healing Focus Talent. Requires 30 Discipline or 30 Shadow Priest Talents ID 1013696",Rare,Priest,45
1013809,Hawk Eye,"Hunter Hawk Eye
Crossover Talent
Increases the range of your ranged weapons by 6 yards.

This Mystic Enchant does not stack with the Hawk Eye Talent. Requires 30 Beast Mastery or 30 Marksmanship Hunter Talents ID 1013809",Rare,Hunter,45
1013662,Deflection,"Rogue Deflection
Crossover Talent
Increases your Parry chance by 6%.

This Mystic Enchant does not stack with the Deflection Talent. Requires 30 Assassination or 30 Subtlety Rogue Talents ID 1013662",Rare,Rogue,45
1013629,Improved Rend,"Warrior Improved Rend
Crossover Talent
Increases the bleed damage done by your Rend ability by 20%.

This Mystic Enchant does not stack with the Improved Rend Talent. Requires 30 Fury or 30 Protection Warrior Talents ID 1013629",Rare,Warrior,45
200961,Consecrated Zeal,"Paladin Consecrated Zeal
Dealing damage with Consecration grants you stack of Consecrated Zeal.

 Consecrated Zeal
Increases Holy damage done by 2% and reduces physical damage taken by 1%. Stacks up to 3 times and lasts 3 sec. ID 200961",Epic,Paladin,15
200050,Alter Time,Mage ID 200050,Artifact,Mage,35
1013716,Elemental Focus,"Shaman Elemental Focus
Crossover Talent
After landing a non-periodic critical strike with a Fire, Frost, or Nature damage spell, you enter a Clearcasting state.  The Clearcasting state reduces the mana cost of your next 2 damage or healing spells by 40%.

This Mystic Enchant does not stack with the Elemental Focus Talent. Requires 30 Enhancement or 30 Restoration Shaman Talents ID 1013716",Rare,Shaman,45
201052,One with the Forest,"Druid One with the Forest
Your critical strikes while in Bear Form extends the duration of Barkskin by 1 second.

This effect can only occur once every second. ID 201052",Epic,Druid,44
200846,Feral Frenzy,Druid ID 200846,Legendary,Druid,30
200632,Titan's Fury,"Warrior Titan's Fury
Using Whirlwind while above 50 rage grants you Titan's Fury. Using it while below 50 rage grants you Titan's Heroism.


 Titan's Fury
Increases damage dealt by 5% for 10 sec.

 Titan's Heroism
Removes the rage cost of Heroic Strike and Cleave. Lasts 3 charges or 10 sec. ID 200632",Epic,Warrior,30
200697,Rapid Blinking,Mage ID 200697,Epic,Mage,20
1013841,Dual Wield Specialization,"Warrior Dual Wield Specialization
Crossover Talent
Increases the damage done by your off-hand weapon by 25%.

This Mystic Enchant does not stack with the Dual Wield Specialization Talent. Requires 30 Arms or 30 Protection Warrior Talents ID 1013841",Rare,Warrior,45
554073,Glyph of Mind Flay,"Priest Glyph of Mind Flay
Increases the damage done by your Mind Flay spell by 10% when your target is afflicted with Shadow Word: Pain. ID 554073",Rare,Priest,20
1013614,Improved Fireball,"Mage Improved Fireball
Crossover Talent
Reduces the casting time of your Fireball spell by 0.5 sec.

This Mystic Enchant does not stack with the Improved Fireball Talent. Requires 30 Arcane or 30 Frost Mage Talents ID 1013614",Rare,Mage,45
554003,Glyph of Rejuvenation,"Druid Glyph of Rejuvenation
While your Rejuvenation targets are below 50% health, you will heal them for an additional 50% health. ID 554003",Rare,Druid,4
201092,Envenomed,"Rogue Envenomed
Deal 10% additional damage with poisons to bleeding targets. In addition, the energy cost of Envenom is reduced by 5. ID 201092",Epic,Rogue,20
1013907,Primal Fury,"Druid Primal Fury
Crossover Talent
Gives you a 100% chance to gain an additional 5 Rage anytime you get a critical strike while in Bear and Dire Bear Form and your critical strikes from Cat Form abilities that add combo points  have a 100% chance to add an additional combo point.

This Mystic Enchant does not stack with the Primal Fury Talent. Requires 30 Balance or 30 Restoration Druid Talents ID 1013907",Rare,Druid,45
200555,Shadow Visions,"Priest Shadow Visions
Requires  Mind Flay (Rank 1)
Dealing damage with Mind Flay grants you a Soul Fragment. After accumulating 6 fragments you gain Shadow Visions.


 Shadow Visions
Empowers your next ability:

- Devouring Plague: Duration increased by 12 seconds.

- Mind Blast: Damage increased by 50%, makes your next Mind Flay have 33% increased critical strike chance.

- Vampiric Touch: Marks a target to take 15% increased periodic damage from you for 30 seconds. ID 200555",Legendary,Priest,30
201329,Hazardous Escape,Rogue ID 201329,Epic,Rogue,15
201249,Impending Doom,"Priest Impending Doom
Your Mind Blast and Shadow Word: Death apply 3 charges of Impending Doom. Can store up to 9 charges.

 Impending Doom
Increases the next periodic Shadow damage taken from the Priest by 20%. ID 201249",Epic,Priest,15
554045,Glyph of Frost Shock,"Shaman Glyph of Frost Shock
Increases the duration of your Frost Shock by 2 sec. ID 554045",Rare,Shaman,20
201583,Biting Frost,"Mage Biting Frost
Requires  Frostbite (Rank 1)
Killing an enemy with Frost damage causes your next spell that can trigger Frostbite to have a 100% chance to trigger it.

This effect can only occur once every 15 seconds. ID 201583",Epic,Mage,15
200479,Circle of Life,Priest ID 200479,Epic,Priest,35
201475,Hydromancer: Water Bolt,Shaman ID 201475,Legendary,Shaman,30
554113,Glyph of Polymorph,"Mage Glyph of Polymorph
Your Polymorph spell also removes all damage over time effects from the target. ID 554113",Rare,Mage,8
201572,Graceful Resurgence,"Druid Graceful Resurgence
Requires  Nature's Grace (Rank 1)
Increases the damage of Wrath, Starfire and Starsurge on targets below 35% health by 10%.

Killing an opponent that yields experience or honor grants you Nature's Grace, increasing your cast speed by 20% for 3 sec. ID 201572",Epic,Druid,20
201525,Overflowing Light,"Priest Overflowing Light
Healing an ally to full health with Lesser Heal, Heal or Greater Heal restores 8% base mana and increases the amount healed of your next Lesser Heal, Heal or Greater Heal by 20%. ID 201525",Epic,Priest,15
1013737,Arctic Reach,"Mage Arctic Reach
Crossover Talent
Increases the range of your Frostbolt, Ice Lance, Deep Freeze and Blizzard spells and the radius of your Frost Nova and Cone of Cold spells by 20%.

This Mystic Enchant does not stack with the Arctic Reach Talent. Requires 30 Arcane or 30 Fire Mage Talents ID 1013737",Rare,Mage,45
200568,Endless Agony,Warlock ID 200568,Legendary,Warlock,30
201231,Fired Up,"Mage Fired Up
Dealing direct damage with Fire spells has a 12% chance to cause your next direct damage Fire spell to be a guaranteed critical strike. ID 201231",Epic,Mage,15
1013653,Shatter,"Mage Shatter
Crossover Talent
Increases the critical strike chance of all your spells against frozen targets by 50%.

This Mystic Enchant does not stack with the Shatter Talent. Requires 30 Arcane or 30 Fire Mage Talents ID 1013653",Rare,Mage,45
200048,Avatar,Warrior ID 200048,Artifact,Warrior,35
1013733,Blood Craze,"Warrior Blood Craze
Crossover Talent
Regenerates 6% of your total Health over 6 sec after being the victim of a critical strike.

This Mystic Enchant does not stack with the Blood Craze Talent. Requires 30 Arms or 30 Protection Warrior Talents ID 1013733",Rare,Warrior,45
200049,Soul Harvest,Warlock ID 200049,Legendary,Warlock,30
200071,Grappling Hook,Rogue Requires 20 Combat Rogue Talents ID 200071,Artifact,Rogue,35
1013691,Mental Agility,"Priest Mental Agility
Crossover Talent
Reduces the mana cost of your instant cast spells by 10%.

This Mystic Enchant does not stack with the Mental Agility Talent. Requires 30 Holy or 30 Shadow Priest Talents ID 1013691",Rare,Priest,45
201463,Dark Focus,Priest ID 201463,Epic,Priest,15
